,age,fnlwgt,education.num,marital.status,race,sex,capital.gain,capital.loss,hours.per.week,income
0,90,77053,9,0,0.0,1,0,4356,40,-1
1,82,132870,9,0,0.0,1,0,4356,18,-1
2,66,186061,10,0,1.0,1,0,4356,40,-1
3,54,140359,4,0,0.0,1,0,3900,40,-1
4,41,264663,10,0,0.0,1,0,3900,40,-1
5,34,216864,9,0,0.0,1,0,3770,45,-1
6,38,150601,6,0,0.0,0,0,3770,40,-1
7,74,88638,16,0,0.0,1,0,3683,20,1
8,68,422013,9,0,0.0,1,0,3683,40,-1
9,41,70037,10,0,0.0,0,0,3004,60,1
10,45,172274,16,0,1.0,1,0,3004,35,1
11,38,164526,15,0,0.0,0,0,2824,45,1
12,52,129177,13,0,0.0,1,0,2824,20,1
13,32,136204,14,0,0.0,0,0,2824,55,1
14,51,172175,16,0,0.0,0,0,2824,40,1
15,46,45363,15,0,0.0,0,0,2824,40,1
16,45,172822,7,0,0.0,0,0,2824,76,1
17,57,317847,14,0,0.0,0,0,2824,50,1
18,22,119592,12,0,1.0,0,0,2824,40,1
19,34,203034,13,0,0.0,0,0,2824,50,1
20,37,188774,13,0,0.0,0,0,2824,40,1
21,29,77009,7,0,0.0,1,0,2754,42,-1
22,61,29059,9,0,0.0,1,0,2754,25,-1
23,51,153870,10,1,0.0,0,0,2603,40,-1
24,61,135285,9,1,0.0,0,0,2603,32,-1
25,21,34310,11,1,0.0,0,0,2603,40,-1
26,33,228696,2,1,0.0,0,0,2603,32,-1
27,49,122066,3,1,0.0,0,0,2603,40,-1
28,37,107164,6,0,0.0,0,0,2559,50,1
29,38,175360,6,0,0.0,0,0,2559,90,1
30,23,44064,10,0,0.0,0,0,2559,40,1
31,59,107287,6,0,0.0,1,0,2559,50,1
32,52,198863,15,0,0.0,0,0,2559,60,1
33,51,123011,13,0,0.0,0,0,2559,50,1
34,60,205246,9,0,1.0,0,0,2559,50,1
35,63,39181,16,0,0.0,1,0,2559,60,1
36,53,149650,9,0,0.0,0,0,2559,48,1
37,51,197163,15,0,0.0,1,0,2559,50,1
38,37,137527,16,0,0.0,1,0,2559,60,1
39,54,161691,14,0,0.0,1,0,2559,40,1
40,44,326232,13,0,0.0,0,0,2547,50,1
41,43,115806,14,0,0.0,1,0,2547,40,1
42,51,115066,10,0,0.0,1,0,2547,40,1
43,43,289669,14,0,0.0,1,0,2547,40,1
44,71,100820,9,1,0.0,0,0,2489,15,-1
45,48,121253,13,1,0.0,1,0,2472,70,1
46,71,110380,9,1,0.0,0,0,2467,52,-1
48,68,192052,10,1,0.0,1,0,2457,40,-1
