,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk
1,22,1,2,3,1,2,5951,48,-1
3,45,0,2,1,1,1,7882,42,1
4,53,0,2,1,1,1,4870,24,-1
7,35,0,3,2,1,2,6948,36,1
9,28,0,3,3,1,2,5234,30,-1
10,25,1,2,2,1,2,1295,12,-1
11,24,1,2,2,1,1,4308,48,-1
12,22,1,2,3,1,2,1567,12,1
13,60,0,1,3,1,1,1199,24,-1
14,28,1,2,2,1,1,1403,15,1
15,32,1,1,3,2,1,1282,24,-1
18,44,1,3,1,1,2,12579,24,-1
21,44,0,2,2,3,1,2647,6,1
22,48,0,1,2,1,1,2241,10,1
23,44,0,2,3,2,2,1804,12,1
25,36,0,1,3,1,1,1374,6,1
27,42,1,2,2,4,3,409,12,1
28,34,0,2,3,1,2,2415,7,1
29,63,0,2,3,1,1,6836,60,-1
30,36,0,2,3,4,2,1913,18,1
31,27,0,2,3,1,1,4020,24,1
32,30,0,2,3,2,2,5866,18,1
34,33,1,3,3,1,3,1474,12,1
35,25,0,1,3,1,2,4746,45,-1
37,37,0,2,3,1,3,2100,18,-1
38,37,0,2,3,1,3,1225,10,1
39,24,0,2,3,1,2,458,9,1
41,26,0,2,3,3,2,1158,12,1
42,44,0,1,3,1,2,6204,18,1
43,24,0,2,2,2,1,6187,30,1
44,58,1,1,1,1,1,6143,48,-1
47,23,1,0,2,3,1,1352,6,1
51,30,0,3,3,1,2,5965,27,1
54,57,0,2,1,1,2,2225,36,-1
58,23,1,3,3,1,3,1961,18,1
59,23,1,1,2,1,1,6229,36,-1
60,27,0,2,3,1,2,1391,9,1
62,61,0,3,1,1,2,1953,36,-1
63,25,0,2,3,1,2,14421,48,-1
67,22,0,2,3,4,2,1007,12,1
72,51,0,3,1,1,1,1164,8,1
73,41,1,1,3,1,2,5954,42,1
75,66,0,3,1,1,1,1526,12,1
76,34,0,2,3,1,1,3965,42,-1
77,51,0,2,3,1,2,4771,11,1
79,22,0,2,3,1,2,3832,30,1
83,58,1,1,3,1,1,1755,24,1
84,52,0,1,3,1,1,2315,10,1
86,27,1,2,3,1,2,1295,18,1
87,47,0,2,1,2,2,12612,36,-1
88,30,0,3,3,2,1,2249,18,1
89,28,0,2,3,1,1,1108,12,-1
91,54,0,2,3,1,1,1409,12,1
94,54,0,2,3,4,2,1318,12,1
95,58,0,2,2,1,2,15945,54,-1
97,34,0,2,3,2,2,2622,18,1
98,36,0,2,3,1,2,2337,36,1
101,24,0,2,2,1,2,2323,36,1
103,35,0,2,2,1,2,1919,9,1
105,39,0,3,3,1,2,11938,24,-1
107,32,0,2,3,1,2,6078,12,1
109,35,0,2,3,3,2,1410,14,1
110,31,0,2,3,2,2,1449,6,1
111,23,1,2,2,1,3,392,15,1
112,28,0,1,2,1,2,6260,18,1
114,35,0,2,3,3,1,1680,12,1
118,23,1,2,3,3,1,4281,33,-1
119,36,0,3,3,3,2,2366,12,1
120,25,1,2,3,1,1,1835,21,-1
123,63,0,2,1,1,3,781,10,1
125,30,0,2,3,1,1,2121,12,1
126,40,0,1,3,1,1,701,12,1
127,30,0,2,3,1,2,639,12,-1
128,34,0,3,3,1,2,1860,12,1
129,29,1,2,3,1,1,3499,12,-1
131,29,0,2,3,1,1,6887,36,-1
137,66,0,1,3,3,2,766,12,-1
139,44,1,1,2,1,3,1881,12,1
140,27,0,0,3,4,3,709,6,1
141,30,1,3,3,1,2,4795,36,1
142,27,0,3,3,1,1,3416,27,1
143,22,0,2,3,1,1,2462,18,-1
145,30,0,2,3,2,2,3566,48,1
146,39,1,2,3,1,1,860,6,1
148,28,0,2,3,1,1,5371,36,1
152,24,0,2,3,1,3,5848,36,1
153,29,1,2,2,4,2,7758,24,1
154,36,0,3,2,2,2,6967,24,1
155,20,1,2,2,1,1,1282,12,-1
156,48,0,2,3,2,1,1288,9,1
157,45,0,1,3,1,1,339,12,1
158,38,0,2,3,2,2,3512,24,1
163,70,0,3,1,1,2,7308,10,1
166,33,1,2,3,1,1,1131,18,-1
167,20,1,2,3,4,2,1577,11,1
169,31,0,2,3,1,2,1935,24,-1
170,33,0,2,2,1,1,950,15,-1
172,34,1,3,3,1,2,2064,24,-1
173,33,0,2,3,1,2,1414,8,1
174,26,0,2,3,1,1,3414,21,-1
176,42,0,2,3,1,1,2577,12,1
177,52,0,2,3,3,1,338,6,1
179,65,0,2,3,1,1,571,21,1
181,30,0,3,3,1,2,4455,36,-1
184,36,0,2,3,1,2,884,18,-1
