,gender,lsat,pass_bar,race1,ugpa
0,1,44.0,1,0,3.5
1,1,29.0,1,0,3.5
2,0,36.0,1,0,3.5
3,0,39.0,1,0,3.5
4,0,48.0,1,0,3.5
5,1,40.0,1,0,3.5
6,1,34.0,1,0,3.5
7,0,40.0,1,0,3.5
8,0,40.0,1,0,3.5
9,1,28.0,-1,1,3.5
10,1,33.0,-1,0,3.5
11,1,36.0,1,0,3.5
13,1,31.0,1,0,3.5
14,0,42.0,1,0,3.5
15,1,34.0,1,0,3.5
16,0,39.0,1,1,3.5
17,1,33.0,1,0,3.5
18,1,44.0,1,0,3.5
20,1,32.0,1,0,3.5
21,1,30.0,1,0,3.5
22,1,36.0,1,0,3.5
23,1,38.0,1,0,3.5
24,0,35.0,1,0,3.5
25,1,31.0,1,0,3.5
26,0,47.0,1,0,3.5
27,1,40.0,1,0,3.5
28,1,30.0,1,0,3.5
29,0,34.0,1,0,3.5
30,0,39.0,1,0,3.5
31,0,48.0,1,0,3.5
32,0,37.0,1,0,3.5
33,1,39.0,1,0,3.5
34,1,33.0,1,0,3.5
35,0,45.0,1,0,3.5
36,1,36.0,1,0,3.5
37,0,44.0,1,0,3.5
38,0,30.5,1,0,3.5
39,0,40.0,1,0,3.5
40,1,48.0,1,0,3.5
41,1,39.0,1,0,3.5
42,1,31.0,1,0,3.5
43,0,33.5,1,0,3.5
44,1,31.0,1,0,3.5
45,0,32.0,1,0,3.5
46,0,38.0,1,0,3.5
47,1,30.0,1,0,3.5
48,0,37.0,1,0,3.5
49,1,32.0,1,0,3.5
51,0,35.0,1,0,3.5
52,1,44.0,1,0,3.5
54,1,32.0,1,0,3.5
55,1,37.0,1,0,3.5
56,1,28.0,1,0,3.5
57,0,39.0,1,0,3.5
58,0,35.0,1,0,3.5
59,1,37.0,1,1,3.5
60,0,46.0,1,0,3.5
61,0,39.0,1,0,3.5
63,1,43.0,1,0,3.5
64,1,34.0,1,0,3.5
65,1,33.0,1,0,3.5
66,1,43.0,1,0,3.5
67,1,41.0,1,0,3.5
69,1,33.0,1,0,3.5
70,0,35.0,1,0,3.5
71,1,42.0,1,0,3.5
72,0,36.0,1,1,3.5
73,1,46.0,1,0,3.5
74,1,38.0,1,0,3.5
76,0,35.0,1,0,3.5
77,0,37.0,1,0,3.5
78,1,37.7,1,0,3.5
79,0,43.0,1,0,3.5
80,0,31.0,1,1,3.5
81,1,42.0,1,0,3.5
82,0,35.0,1,0,3.5
83,0,43.5,1,0,3.5
84,0,29.0,1,0,3.5
85,1,38.0,1,0,3.5
86,0,37.0,1,0,3.5
87,0,40.0,1,0,3.5
88,0,44.0,1,0,3.5
89,0,43.0,1,0,3.5
91,0,38.0,1,0,3.5
92,1,41.0,1,0,3.5
93,0,45.0,-1,0,3.5
94,0,32.5,1,0,3.5
95,0,35.0,1,0,3.5
97,1,32.0,1,0,3.5
98,1,39.0,1,0,3.5
99,0,40.0,1,0,3.5
100,0,45.0,1,0,3.5
101,1,35.0,1,0,3.5
102,0,29.0,1,0,3.5
103,0,46.0,1,0,3.5
104,1,44.0,1,0,3.5
106,1,42.0,1,0,3.5
107,1,32.0,1,0,3.5
108,1,43.0,1,0,3.5
109,1,30.5,1,0,3.5
110,1,35.0,1,0,3.5
111,0,34.0,1,0,3.5
112,1,38.0,1,0,3.5
113,1,33.0,1,0,3.5
114,0,36.0,1,0,3.5
115,0,41.0,1,0,3.5
117,1,40.0,1,0,3.5
118,0,23.3,1,1,3.5
119,1,42.0,1,0,3.5
120,0,47.0,1,0,3.5
121,0,43.0,1,0,3.5
123,0,30.0,1,0,3.5
124,1,38.0,1,0,3.5
125,0,44.0,1,0,3.5
126,0,43.0,1,0,3.5
127,0,45.0,1,0,3.5
129,0,38.0,1,0,3.5
130,1,41.0,1,0,3.5
131,0,37.0,1,0,3.5
132,1,25.0,-1,0,3.5
133,1,40.0,1,1,3.5
134,1,40.0,1,0,3.5
135,0,33.0,1,0,3.5
138,1,31.5,1,0,3.5
139,1,33.0,1,0,3.5
140,0,43.0,1,0,3.5
141,1,39.0,1,0,3.5
142,0,43.0,1,0,3.5
143,1,39.0,1,0,3.5
144,0,44.0,1,0,3.5
145,0,32.0,1,0,3.5
146,1,35.0,1,0,3.5
148,1,42.0,1,0,3.5
149,1,33.0,1,1,3.5
150,1,26.0,1,0,3.5
151,1,39.0,1,0,3.5
152,1,35.5,1,0,3.5
153,0,33.0,1,0,3.5
155,1,42.0,1,0,3.5
157,0,32.0,1,1,3.5
158,0,37.0,1,0,3.5
159,0,38.0,1,0,3.5
160,1,42.0,1,0,3.5
161,0,40.0,1,0,3.5
162,1,28.0,1,0,3.5
164,0,45.0,1,0,3.5
165,1,35.0,1,0,3.5
166,0,39.0,1,0,3.5
167,0,39.0,1,0,3.5
169,1,39.0,1,0,3.5
170,1,39.0,1,0,3.5
171,0,39.0,-1,0,3.5
172,1,34.0,1,0,3.5
173,0,46.0,1,0,3.5
174,1,45.0,1,0,3.5
175,1,41.0,1,1,3.5
176,0,32.0,1,0,3.5
177,1,37.0,1,0,3.5
178,1,42.0,1,0,3.5
179,0,29.0,1,0,3.5
180,0,34.0,1,0,3.5
181,0,40.0,1,0,3.5
182,1,41.0,1,0,3.5
183,0,44.0,1,0,3.5
185,0,36.0,1,0,3.5
186,0,31.0,1,0,3.5
187,1,32.5,1,1,3.5
188,0,40.0,1,0,3.5
189,1,36.0,1,0,3.5
190,0,41.0,1,0,3.5
191,1,33.0,1,0,3.5
192,1,32.0,1,0,3.5
193,0,44.0,1,0,3.5
194,1,42.0,1,0,3.5
195,1,39.0,1,0,3.5
196,1,48.0,1,0,3.5
197,0,42.0,1,0,3.5
198,0,38.0,1,0,3.5
199,1,39.0,1,0,3.5
200,0,42.0,1,0,3.5
201,1,46.0,1,1,3.5
202,0,41.0,1,0,3.5
203,0,39.0,1,0,3.5
204,1,32.0,1,0,3.5
206,1,40.0,1,0,3.5
207,1,42.0,1,0,3.5
208,0,40.5,1,0,3.5
209,0,41.0,1,0,3.5
210,0,38.0,1,0,3.5
211,1,33.0,1,0,3.5
212,0,37.0,1,0,3.5
213,1,41.0,1,0,3.5
214,1,37.0,1,0,3.5
215,1,39.5,1,0,3.5
216,1,39.0,1,0,3.5
217,0,33.0,1,0,3.5
218,0,35.5,1,0,3.5
219,1,32.0,1,0,3.5
220,1,41.0,1,0,3.5
221,1,34.0,1,0,3.5
222,0,33.0,1,0,3.5
224,1,41.0,1,0,3.5
225,0,34.0,1,0,3.5
226,1,31.0,1,0,3.5
227,1,47.0,1,0,3.5
228,1,37.0,1,0,3.5
229,1,31.0,1,0,3.5
230,0,31.0,1,0,3.5
231,0,48.0,1,0,3.5
232,0,47.0,1,0,3.5
233,0,42.0,1,0,3.5
235,1,34.0,1,1,3.5
236,1,31.5,1,0,3.5
237,1,34.0,1,0,3.5
238,0,46.0,1,0,3.5
239,1,31.0,-1,0,3.5
