,,accuracy,equal_opportunity,p_percent,c_variation
LogReg,accuracy,0.9536955457660303,0.9973977695167286,0.9910543130990415,0.2844215083142795
LogReg,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983523
LogReg,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983523
LogReg,c_variation,0.9534018600097895,0.9988847583643121,0.9955271565495207,0.2849726858687451
RegEqual,accuracy,0.9534508076358297,0.9988847583643123,0.9963384863489881,0.28484592114975
RegEqual,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983523
RegEqual,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983523
RegEqual,c_variation,0.9534997552618698,0.9988847583643123,0.9960189051665933,0.28471589508200545
RegDemo,accuracy,0.9537934410181106,0.9985130111524163,0.9942165373645617,0.2839931578439997
RegDemo,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983523
RegDemo,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983523
RegDemo,c_variation,0.9534997552618698,0.9988847583643123,0.9960189051665933,0.28471589508200545
RegRewe,accuracy,0.9531571218795889,1.0,0.9998265895953756,0.28545462447063963
RegRewe,equal_opportunity,0.9531571218795889,1.0,0.9998265895953756,0.28545462447063963
RegRewe,p_percent,0.9530592266275085,1.0,0.9999421965317918,0.28571145476343673
RegRewe,c_variation,0.9531571218795889,1.0,0.9998265895953756,0.28545462447063963
Minimax,accuracy,0.9534997552618698,0.9981412639405205,0.9936102236421724,0.28482751603824463
Minimax,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983523
Minimax,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983523
Minimax,c_variation,0.953206069505629,0.9988847583643121,0.9968051118210861,0.2854898165370055
RegMoo,accuracy,0.9535976505139501,0.9970260223048326,0.9914307908156431,0.28473554419731506
RegMoo,equal_opportunity,0.9531571218795889,1.0,0.999041533546326,0.28545462447063963
RegMoo,p_percent,0.9530592266275085,1.0,0.9996805111821085,0.28571145476343673
RegMoo,c_variation,0.9535487028879099,0.9988847583643123,0.9945686900958466,0.28458636702620493
RegEqMoo,accuracy,0.9538423886441507,0.9977695167286245,0.9907348242811501,0.2839790931823136
RegEqMoo,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983523
RegEqMoo,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983523
RegEqMoo,c_variation,0.9534508076358297,1.0,0.9971246006389777,0.28467822092485784
