,,accuracy,equal_opportunity,p_percent,c_variation
LogReg,accuracy,0.7961538461538461,0.8996324551832409,0.5914893985225718,0.7087757297884786
LogReg,equal_opportunity,0.793923723335488,0.8939730123193468,0.5731032783866246,0.7158430628432411
LogReg,p_percent,0.7959276018099547,0.8876864228446073,0.5590343314833528,0.7109121661171872
LogReg,c_variation,0.7952165481577246,0.8692489424164203,0.5800663525973222,0.7092257261812258
RegEqual,accuracy,0.8338720103425987,0.679214707696854,0.4070863848382172,0.6050970357835779
RegEqual,equal_opportunity,0.8222365869424694,0.7485904106967878,0.4910296550792377,0.645665315305163
RegEqual,p_percent,0.8185843568196509,0.6204004660895269,0.39453343743057634,0.6571059713363742
RegEqual,c_variation,0.833775048480931,0.6881382833574505,0.4081168577399138,0.6030126029234011
RegDemo,accuracy,0.833775048480931,0.6812374436270159,0.40365749383515553,0.604352317330366
RegDemo,equal_opportunity,0.7962508080155138,0.905946903857854,0.7503859479284786,0.7040591566219436
RegDemo,p_percent,0.7881706528765352,0.9450684895833537,0.8645217996258385,0.7193439825262353
RegDemo,c_variation,0.8336780866192632,0.6852185346793471,0.40701310405330277,0.6032915787267954
RegRewe,accuracy,0.7977375565610859,0.9180074108835846,0.5953839535700414,0.7067176269430837
RegRewe,equal_opportunity,0.7944085326438267,0.8861373059195781,0.5750856287213372,0.7134994366213214
RegRewe,p_percent,0.7970588235294117,0.9149827544235027,0.6053090822299537,0.7083073091851121
RegRewe,c_variation,0.7973497091144149,0.8998709487702814,0.5832507164736368,0.7064021604111355
Minimax,accuracy,0.8009049773755657,0.8001226179837289,0.41465822868663077,0.697718758553183
Minimax,equal_opportunity,0.7982223658694246,0.8376979462597939,0.4792341169828368,0.702865905309566
Minimax,p_percent,0.7960892049127343,0.8798403168733874,0.5917471285537278,0.7078703500207163
Minimax,c_variation,0.7990627020038785,0.7453099553077028,0.35342977925030133,0.6966637957772134
RegMoo,accuracy,0.7967679379444085,0.9134018112003388,0.5731898591342418,0.7108097612808111
RegMoo,equal_opportunity,0.796186166774402,0.9059004780568418,0.5639191991117931,0.7129839435664329
RegMoo,p_percent,0.7968972204266321,0.9318579516703781,0.5872573409494828,0.7109755565162424
RegMoo,c_variation,0.7958952811893988,0.8704916270257645,0.5510740002885911,0.7086458650317486
RegEqMoo,accuracy,0.7953135100193923,0.880250434381235,0.583673001234959,0.7091853975668384
RegEqMoo,equal_opportunity,0.24143503555268261,1.0,1.0,0.3441542345934792
RegEqMoo,p_percent,0.24143503555268261,1.0,1.0,0.3441542345934792
RegEqMoo,c_variation,0.24143503555268261,1.0,1.0,0.3441542345934792
