,,accuracy,equal_opportunity,p_percent,c_variation
LogReg,accuracy,0.6791902834008097,0.5217086499587563,0.40280648279823206,0.8865861168769298
LogReg,equal_opportunity,0.6676923076923077,0.6622362109175748,0.4934351543984511,0.9371774875984966
LogReg,p_percent,0.6403238866396761,0.6418384964092937,0.5993501561690264,0.9916467092589705
LogReg,c_variation,0.6620242914979757,0.5505214366574045,0.4657022799979688,0.872501157789136
RegEqual,accuracy,0.6759514170040486,0.5950779714896843,0.49864431022604205,0.8831838840598338
RegEqual,equal_opportunity,0.6438866396761134,0.6767157186059684,0.6124162006136595,0.9788771882104934
RegEqual,p_percent,0.6419433198380566,0.6625917917980066,0.5660463056449019,0.9636745672177033
RegEqual,c_variation,0.6620242914979757,0.5953268100137106,0.5126632429159631,0.8675328619214718
RegDemo,accuracy,0.6702834008097166,0.5895311213562465,0.5020260780342478,0.8837731512068427
RegDemo,equal_opportunity,0.5444534412955466,0.8240562249589143,0.7858617464392905,1.1530961046203025
RegDemo,p_percent,0.5612955465587045,0.8910427637060648,0.8472988629951859,1.1460805732987445
RegDemo,c_variation,0.6620242914979757,0.5953268100137106,0.5126632429159631,0.8675328619214718
RegRewe,accuracy,0.665425101214575,0.8250357448719556,0.7570674041783243,0.9094846625102941
RegRewe,equal_opportunity,0.6681781376518219,0.9344721652851448,0.8969238028516823,0.903815974626106
RegRewe,p_percent,0.6667206477732792,0.9316624980591007,0.8974715809486665,0.9041515077394217
RegRewe,c_variation,0.6529554655870445,0.8371875650413427,0.7649490326236557,0.890575349807507
Minimax,accuracy,0.6804858299595142,0.5259993150220448,0.410558794238115,0.8890106217042422
Minimax,equal_opportunity,0.6021052631578947,0.6330218179951886,0.7842974270435805,1.1362188800144555
Minimax,p_percent,0.5975708502024292,0.7140761562761541,0.696828529465761,1.1279280002934047
Minimax,c_variation,0.662834008097166,0.5452827004219409,0.45941101025393527,0.8744979778408437
RegMoo,accuracy,0.6821052631578948,0.6050197636386904,0.495516000510151,0.8843509945329356
RegMoo,equal_opportunity,0.6633198380566802,0.8369345042983337,0.7512647611445907,0.853597013257011
RegMoo,p_percent,0.6602429149797571,0.8716566405598214,0.80102822054285,0.8367694531769878
RegMoo,c_variation,0.6602429149797571,0.8716566405598214,0.80102822054285,0.8367694531769878
RegEqMoo,accuracy,0.6621862348178138,0.559386034452423,0.47499441291904615,0.8719115276401577
RegEqMoo,equal_opportunity,0.4469635627530365,1.0,1.0,0.45273730958591507
RegEqMoo,p_percent,0.4469635627530365,1.0,1.0,0.45273730958591507
RegEqMoo,c_variation,0.4469635627530365,1.0,1.0,0.45273730958591507
