,,accuracy,equal_opportunity,p_percent,c_variation
LogReg,accuracy,0.6133333333333333,0.9507820136852394,0.8090451228286566,0.840283509045476
LogReg,equal_opportunity,0.5980952380952381,0.93388613611083,0.8121212121212121,0.7933039328502686
LogReg,p_percent,0.5923809523809523,0.94904052936311,0.9114802585324936,0.7241677245329454
LogReg,c_variation,0.5752380952380952,0.9612121212121212,0.9912617220801365,0.5422799671253925
RegEqual,accuracy,0.6133333333333334,0.9351860863922876,0.8067912696224122,0.8574124640819762
RegEqual,equal_opportunity,0.5942857142857143,0.9766995796194905,0.9210103242250984,0.6595652974259409
RegEqual,p_percent,0.5866666666666667,0.9564992893991522,0.9106719367588931,0.6724214392305908
RegEqual,c_variation,0.5676190476190477,0.9613409845967985,0.9902791625124627,0.5860616864352194
RegDemo,accuracy,0.6019047619047619,0.8996652530589544,0.7754773907784684,0.8666057993221542
RegDemo,equal_opportunity,0.5714285714285714,0.9954545454545456,0.9971014492753625,0.49440746817427345
RegDemo,p_percent,0.579047619047619,0.9951612903225806,0.9652173913043478,0.5601370280266957
RegDemo,c_variation,0.5714285714285714,1.0,1.0,0.4898979485566355
RegRewe,accuracy,0.5980952380952381,0.930951374207188,0.8726570048309177,0.7425563088512949
RegRewe,equal_opportunity,0.5885714285714286,0.8869548415988905,0.8870957455082833,0.8007221645277111
RegRewe,p_percent,0.580952380952381,0.9162110616656071,0.9367959020015384,0.7541041436477975
RegRewe,c_variation,0.5733333333333334,0.9576180408738548,0.991304347826087,0.5462857339058285
Minimax,accuracy,0.5961904761904762,0.8307366981831664,0.7075178039146586,0.8674989195188885
Minimax,equal_opportunity,0.5809523809523809,0.9951612903225806,0.9565217391304348,0.5597656487686737
Minimax,p_percent,0.5695238095238095,0.9983471074380164,0.991304347826087,0.5647182915526914
Minimax,c_variation,0.5657142857142857,0.9714285714285713,0.9928571428571429,0.5422440226409837
RegMoo,accuracy,0.5980952380952382,0.9458499955567404,0.8802828282828281,0.8420450372586467
RegMoo,equal_opportunity,0.5619047619047619,0.8367772852147852,0.8344083694083694,0.9073938810688613
RegMoo,p_percent,0.5961904761904762,0.908482461706056,0.8588617139087202,0.8533706506896094
RegMoo,c_variation,0.5771428571428572,0.8952380952380953,0.9629090557904116,0.7518114417383287
RegEqMoo,accuracy,0.6038095238095238,0.685297619047619,0.5981050881891218,0.7254764882244316
RegEqMoo,equal_opportunity,0.5714285714285714,1.0,1.0,0.4898979485566355
RegEqMoo,p_percent,0.5714285714285714,1.0,1.0,0.4898979485566355
RegEqMoo,c_variation,0.5714285714285714,1.0,1.0,0.4898979485566355
