,,accuracy,equal_opportunity,p_percent,c_variation
LogReg,accuracy,0.9535976505139501,0.9981412639405205,0.9929712460063898,0.2845674639027558
LogReg,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983784
LogReg,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983784
LogReg,c_variation,0.9534508076358297,0.9985130111524165,0.9945686900958466,0.2849008831057151
RegEqual,accuracy,0.9534997552618698,0.9985130111524165,0.9957571441634407,0.2847733326287441
RegEqual,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983784
RegEqual,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983784
RegEqual,c_variation,0.9534997552618698,0.9988847583643123,0.9960189975310969,0.2847165136081822
RegDemo,accuracy,0.9538423886441507,0.9985130111524165,0.9935200758866762,0.28386463688616603
RegDemo,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983784
RegDemo,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983784
RegDemo,c_variation,0.9535487028879099,0.9985130111524165,0.9954375629810459,0.284643306561
RegRewe,accuracy,0.953206069505629,1.0,0.9997687861271676,0.28532620932424285
RegRewe,equal_opportunity,0.9531571218795889,1.0,0.9998265895953756,0.28545462447064157
RegRewe,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983784
RegRewe,c_variation,0.953206069505629,1.0,0.9997687861271676,0.2853262093242428
Minimax,accuracy,0.9535487028879099,0.9981412639405205,0.9932907348242812,0.284697620041215
Minimax,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983784
Minimax,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983784
Minimax,c_variation,0.9536955457660303,0.9985130111524165,0.9929712460063898,0.28425123979925304
RegMoo,accuracy,0.9536465981399902,0.9977695167286245,0.9920127795527156,0.2844939766935513
RegMoo,equal_opportunity,0.9531571218795889,1.0,0.999041533546326,0.28545462447064185
RegMoo,p_percent,0.9530592266275086,1.0,0.9996805111821087,0.2857114547634392
RegMoo,c_variation,0.9534997552618698,0.9973977695167286,0.9923322683706071,0.2849382414305714
RegEqMoo,accuracy,0.9535976505139501,0.9977695167286245,0.9923322683706071,0.2846218467379384
RegEqMoo,equal_opportunity,0.9530102790014684,1.0,1.0,0.28583986990983784
RegEqMoo,p_percent,0.9530102790014684,1.0,1.0,0.28583986990983784
RegEqMoo,c_variation,0.953206069505629,0.9992565055762082,0.997444089456869,0.2854338621858713
